Epoch	Train Loss	Test Loss
1	0.076314	0.047048
2	0.040881	0.036247
3	0.032825	0.030077
4	0.028186	0.026848
5	0.025280	0.024306
6	0.023167	0.022562
7	0.021653	0.021161
8	0.020511	0.020187
9	0.019372	0.018984
10	0.018241	0.017948
11	0.017274	0.017165
12	0.016621	0.016820
13	0.015945	0.015767
14	0.015311	0.015625
15	0.014819	0.014918
16	0.014361	0.014815
17	0.013933	0.014066
18	0.013564	0.013515
19	0.013234	0.013511
20	0.012985	0.013090
21	0.012650	0.013432
22	0.012367	0.012523
23	0.012097	0.012206
24	0.011879	0.011921
25	0.011570	0.012109
26	0.011395	0.011652
27	0.011210	0.011642
28	0.011025	0.011484
29	0.010859	0.010964
30	0.010723	0.011174
31	0.010619	0.010807
32	0.010509	0.011177
33	0.010433	0.011568

Best Test Loss: 0.010807 at Epoch 31
Min. Loss Distance: 0.000042 at Epoch 24
