Epoch	Train Loss	Test Loss
1	0.138104	0.100254
2	0.092249	0.087895
3	0.084263	0.081697
4	0.078890	0.077244
5	0.075665	0.074942
6	0.073655	0.073098
7	0.072018	0.071871
8	0.071305	0.071436
9	0.070996	0.071249
10	0.070831	0.071108
11	0.070728	0.071035
12	0.070631	0.070869
13	0.070552	0.070826
14	0.070475	0.070791
15	0.070419	0.070825
16	0.070359	0.070648
17	0.070307	0.070601
18	0.070240	0.070627
19	0.070159	0.070512
20	0.070146	0.070609
21	0.070077	0.070401
22	0.070013	0.070543
23	0.069956	0.070347
24	0.069887	0.070226
25	0.069794	0.070189
26	0.069705	0.070168
27	0.069626	0.070021
28	0.069516	0.069877
29	0.069382	0.069766
30	0.069203	0.069537
31	0.069100	0.069506
32	0.068993	0.069408
33	0.068905	0.069338
34	0.068824	0.069221
35	0.068755	0.069212
36	0.068708	0.069159
37	0.068646	0.069140
38	0.068613	0.069061
39	0.068570	0.069105
40	0.068507	0.069072
41	0.068459	0.069029
42	0.068430	0.068845
43	0.068381	0.068926
44	0.068338	0.068781
45	0.068312	0.068769
46	0.068268	0.068794
47	0.068232	0.068706
48	0.068202	0.068712
49	0.068155	0.068673
50	0.068113	0.068673
51	0.068077	0.068591
52	0.068060	0.068600
53	0.068025	0.068556
54	0.067988	0.068523
55	0.067955	0.068550
56	0.067938	0.068544
57	0.067903	0.068447
58	0.067875	0.068391
59	0.067852	0.068376
60	0.067836	0.068378
61	0.067802	0.068329
62	0.067778	0.068364
63	0.067745	0.068381

Best Test Loss: 0.068329 at Epoch 61
Min. Loss Distance: 0.000131 at Epoch 8
