Epoch	Train Loss	Test Loss
1	0.206312	0.077700
2	0.057420	0.042053
3	0.037755	0.032189
4	0.030767	0.027767
5	0.027135	0.025298
6	0.024979	0.023577
7	0.023479	0.022479
8	0.022384	0.021593
9	0.021542	0.020835
10	0.020834	0.020408
11	0.020249	0.019727
12	0.019721	0.019399
13	0.019275	0.019071
14	0.018904	0.018651
15	0.018561	0.018438
16	0.018250	0.018278
17	0.017968	0.018065
18	0.017735	0.017691
19	0.017513	0.017534
20	0.017306	0.017320
21	0.017132	0.017343
22	0.016965	0.017084
23	0.016802	0.017044
24	0.016656	0.016875
25	0.016529	0.016742
26	0.016388	0.016763
27	0.016279	0.016572
28	0.016175	0.016453
29	0.016067	0.016357
30	0.015960	0.016333
31	0.015872	0.016284
32	0.015786	0.016134
33	0.015705	0.016199
34	0.015613	0.016072
35	0.015532	0.015904
36	0.015477	0.015912
37	0.015392	0.015874
38	0.015332	0.015731
39	0.015271	0.015817
40	0.015200	0.015863

Best Test Loss: 0.015731 at Epoch 38
Min. Loss Distance: 0.000014 at Epoch 20
