Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.2729    |   0.1063   |  96.74%  |   0.0326   |  0.9911   | 0.7795 |   0.9988    | 0.9644 | 0.0012 | 0.2205 |  0.8727  | 0.8727
   37 |  0.2697    |   0.1026   |  96.91%  |   0.0309   |  0.9877   | 0.7923 |   0.9984    | 0.9667 | 0.0016 | 0.2077 |  0.8792  | 0.8792
   38 |  0.2624    |   0.1066   |  96.92%  |   0.0308   |  0.9868   | 0.7929 |   0.9983    | 0.9669 | 0.0017 | 0.2071 |  0.8793  | 0.8793
   39 |  0.2606    |   0.0989   |  96.99%  |   0.0301   |  0.9886   | 0.7962 |   0.9985    | 0.9675 | 0.0015 | 0.2038 |  0.8820  | 0.8820
   40 |  0.2478    |   0.1032   |  96.85%  |   0.0315   |  0.9885   | 0.7879 |   0.9985    | 0.9659 | 0.0015 | 0.2121 |  0.8769  | 0.8769
   41 |  0.2495    |   0.0997   |  96.88%  |   0.0312   |  0.9903   | 0.7886 |   0.9987    | 0.9661 | 0.0013 | 0.2114 |  0.8780  | 0.8780
   42 |  0.2440    |   0.1022   |  96.99%  |   0.0301   |  0.9938   | 0.7921 |   0.9992    | 0.9669 | 0.0008 | 0.2079 |  0.8815  | 0.8815
   43 |  0.2425    |   0.0965   |  97.13%  |   0.0287   |  0.9903   | 0.8027 |   0.9987    | 0.9689 | 0.0013 | 0.1973 |  0.8867  | 0.8867
   44 |  0.2406    |   0.0937   |  97.25%  |   0.0275   |  0.9929   | 0.8083 |   0.9991    | 0.9699 | 0.0009 | 0.1917 |  0.8912  | 0.8912
   45 |  0.2331    |   0.0982   |  96.96%  |   0.0304   |  0.9903   | 0.7926 |   0.9987    | 0.9670 | 0.0013 | 0.2074 |  0.8805  | 0.8805
   46 |  0.2274    |   0.0991   |  97.22%  |   0.0278   |  0.9894   | 0.8088 |   0.9986    | 0.9700 | 0.0014 | 0.1912 |  0.8900  | 0.8900
   47 |  0.2297    |   0.0922   |  97.15%  |   0.0285   |  0.9929   | 0.8020 |   0.9991    | 0.9688 | 0.0009 | 0.1980 |  0.8873  | 0.8873
   48 |  0.2234    |   0.0886   |  97.32%  |   0.0268   |  0.9894   | 0.8144 |   0.9986    | 0.9711 | 0.0014 | 0.1856 |  0.8934  | 0.8934
   49 |  0.2229    |   0.0877   |  97.33%  |   0.0267   |  0.9947   | 0.8114 |   0.9993    | 0.9706 | 0.0007 | 0.1886 |  0.8938  | 0.8938
   50 |  0.2195    |   0.0869   |  97.36%  |   0.0264   |  0.9912   | 0.8161 |   0.9988    | 0.9713 | 0.0012 | 0.1839 |  0.8952  | 0.8952
   51 |  0.2207    |   0.0825   |  97.54%  |   0.0246   |  0.9938   | 0.8245 |   0.9992    | 0.9731 | 0.0008 | 0.1755 |  0.9013  | 0.9013
   52 |  0.2128    |   0.0843   |  97.52%  |   0.0248   |  0.9894   | 0.8261 |   0.9986    | 0.9734 | 0.0014 | 0.1739 |  0.9004  | 0.9004
   53 |  0.2079    |   0.0838   |  97.53%  |   0.0247   |  0.9947   | 0.8232 |   0.9993    | 0.9728 | 0.0007 | 0.1768 |  0.9008  | 0.9008
   54 |  0.2130    |   0.0845   |  97.47%  |   0.0253   |  0.9903   | 0.8226 |   0.9987    | 0.9727 | 0.0013 | 0.1774 |  0.8987  | 0.8987
   55 |  0.2078    |   0.0765   |  97.72%  |   0.0228   |  0.9956   | 0.8344 |   0.9994    | 0.9749 | 0.0006 | 0.1656 |  0.9079  | 0.9079
   56 |  0.2012    |   0.0759   |  97.72%  |   0.0228   |  0.9912   | 0.8379 |   0.9988    | 0.9754 | 0.0012 | 0.1621 |  0.9081  | 0.9081
   57 |  0.2045    |   0.0765   |  97.72%  |   0.0228   |  0.9938   | 0.8348 |   0.9992    | 0.9751 | 0.0008 | 0.1652 |  0.9074  | 0.9074
   58 |  0.1968    |   0.0769   |  97.93%  |   0.0207   |  0.9947   | 0.8488 |   0.9993    | 0.9773 | 0.0007 | 0.1512 |  0.9160  | 0.9160
   59 |  0.2018    |   0.0758   |  97.86%  |   0.0214   |  0.9903   | 0.8468 |   0.9987    | 0.9771 | 0.0013 | 0.1532 |  0.9129  | 0.9129
   60 |  0.1894    |   0.0804   |  97.59%  |   0.0241   |  0.9921   | 0.8292 |   0.9990    | 0.9738 | 0.0010 | 0.1708 |  0.9033  | 0.9033
   61 |  0.1872    |   0.0793   |  97.63%  |   0.0237   |  0.9894   | 0.8333 |   0.9986    | 0.9746 | 0.0014 | 0.1667 |  0.9047  | 0.9047
   62 |  0.1844    |   0.0726   |  97.78%  |   0.0222   |  0.9938   | 0.8393 |   0.9992    | 0.9758 | 0.0008 | 0.1607 |  0.9100  | 0.9100
   63 |  0.1851    |   0.0774   |  97.71%  |   0.0229   |  0.9903   | 0.8378 |   0.9987    | 0.9754 | 0.0013 | 0.1622 |  0.9077  | 0.9077
   64 |  0.1840    |   0.0806   |  97.64%  |   0.0236   |  0.9938   | 0.8306 |   0.9992    | 0.9742 | 0.0008 | 0.1694 |  0.9049  | 0.9049
   65 |  0.1826    |   0.0735   |  97.86%  |   0.0214   |  0.9929   | 0.8453 |   0.9991    | 0.9768 | 0.0009 | 0.1547 |  0.9132  | 0.9132
   66 |  0.1783    |   0.0731   |  97.76%  |   0.0224   |  0.9929   | 0.8383 |   0.9991    | 0.9757 | 0.0009 | 0.1617 |  0.9091  | 0.9091
   67 |  0.1804    |   0.0705   |  97.88%  |   0.0212   |  0.9956   | 0.8448 |   0.9994    | 0.9767 | 0.0006 | 0.1552 |  0.9140  | 0.9140
   68 |  0.1787    |   0.0742   |  97.79%  |   0.0221   |  0.9903   | 0.8428 |   0.9987    | 0.9763 | 0.0013 | 0.1572 |  0.9106  | 0.9106
   69 |  0.1765    |   0.0711   |  97.78%  |   0.0222   |  0.9912   | 0.8414 |   0.9988    | 0.9761 | 0.0012 | 0.1586 |  0.9102  | 0.9102
   70 |  0.1775    |   0.0650   |  97.94%  |   0.0206   |  0.9938   | 0.8498 |   0.9992    | 0.9776 | 0.0008 | 0.1502 |  0.9162  | 0.9162
   71 |  0.1741    |   0.0756   |  97.69%  |   0.0231   |  0.9894   | 0.8371 |   0.9986    | 0.9753 | 0.0014 | 0.1629 |  0.9069  | 0.9069
