Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.0533    |   0.0295   |  99.18%  |   0.0082   |  0.9947   | 0.9370 |   0.9993    | 0.9914 | 0.0007 | 0.0630 |  0.9650  | 0.9650
   37 |  0.0494    |   0.0277   |  99.17%  |   0.0083   |  0.9947   | 0.9363 |   0.9993    | 0.9913 | 0.0007 | 0.0637 |  0.9646  | 0.9646
   38 |  0.0506    |   0.0363   |  98.84%  |   0.0116   |  0.9947   | 0.9115 |   0.9993    | 0.9876 | 0.0007 | 0.0885 |  0.9513  | 0.9513
   39 |  0.0496    |   0.0338   |  98.85%  |   0.0115   |  0.9947   | 0.9119 |   0.9993    | 0.9877 | 0.0007 | 0.0881 |  0.9515  | 0.9515
   40 |  0.0494    |   0.0319   |  99.06%  |   0.0094   |  0.9939   | 0.9287 |   0.9992    | 0.9902 | 0.0008 | 0.0713 |  0.9602  | 0.9602
   41 |  0.0508    |   0.0273   |  99.02%  |   0.0098   |  0.9930   | 0.9261 |   0.9991    | 0.9898 | 0.0009 | 0.0739 |  0.9584  | 0.9584
   42 |  0.0482    |   0.0288   |  99.12%  |   0.0088   |  0.9956   | 0.9316 |   0.9994    | 0.9906 | 0.0006 | 0.0684 |  0.9625  | 0.9625
   43 |  0.0480    |   0.0248   |  99.17%  |   0.0083   |  0.9956   | 0.9356 |   0.9994    | 0.9912 | 0.0006 | 0.0644 |  0.9647  | 0.9647
   44 |  0.0469    |   0.0252   |  99.17%  |   0.0083   |  0.9965   | 0.9348 |   0.9995    | 0.9911 | 0.0005 | 0.0652 |  0.9646  | 0.9646
   45 |  0.0475    |   0.0260   |  99.11%  |   0.0089   |  0.9947   | 0.9316 |   0.9993    | 0.9906 | 0.0007 | 0.0684 |  0.9621  | 0.9621
   46 |  0.0463    |   0.0306   |  99.06%  |   0.0094   |  0.9956   | 0.9270 |   0.9994    | 0.9900 | 0.0006 | 0.0730 |  0.9601  | 0.9601
   47 |  0.0428    |   0.0320   |  98.98%  |   0.0102   |  0.9947   | 0.9218 |   0.9993    | 0.9892 | 0.0007 | 0.0782 |  0.9569  | 0.9569
