number,state,value,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator
0,COMPLETE,1.5511492490768433,0.0004643494468877232,0.00012847102454910733,0.4583406938822338,0.995482757063105,43,mse,bce
1,COMPLETE,2.339184522628784,0.00019330663489117451,0.00016065633099737376,0.46892745419319826,0.9935573594896393,57,mse,mse
2,COMPLETE,2.555298089981079,0.000353646696865722,0.00017784693911863914,0.5004249753312051,0.995859370719125,60,mse,mse
3,COMPLETE,2.3537654876708984,0.00011589364376860228,0.00030647693552728457,0.48746333268660136,0.9961035229696318,31,mse,bce
4,COMPLETE,2.7151646614074707,0.00023165481363565316,0.00017988527246079271,0.4604311885852592,0.9963961225113893,67,mse,mse
