number,state,value,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator
0,FAIL,,0.0001545383069985531,0.00012996196445991343,0.4617052870582395,0.9904649239622645,39,mse,bce
1,COMPLETE,2.5839154720306396,0.0001808361315592601,0.00011533548029601088,0.5011226783571509,0.9978258492328741,87,mse,mse
2,COMPLETE,2.4941799640655518,0.00020993222301427002,0.00019398229984294476,0.45359938279376427,0.9936622692281568,33,mse,bce
3,COMPLETE,2.499469757080078,0.00044325534218216166,0.0003261989190190886,0.5136484047581975,0.9938810386526605,36,mse,bce
4,COMPLETE,2.4312195777893066,0.00013412990384517321,0.00028686587502793696,0.4815979353077979,0.9954163280401266,84,mse,bce
5,COMPLETE,2.065929889678955,0.00047578442450401466,0.0002278035653162097,0.4929844085709796,0.9955425619573826,39,mse,mse
