number,state,value_0,value_1,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator
0,COMPLETE,1.6820286512374878,236.05154418945312,0.0003284382106754994,0.0001113074763234469,0.45488273961662473,0.997800788214456,72,mse,bce
1,COMPLETE,2.2498695850372314,180.041015625,0.0004026698288424774,0.00031869269557623716,0.4693746365390915,0.99167088024704,58,mse,mse
2,COMPLETE,2.029890775680542,194.36862182617188,0.0002764738804484521,0.00011263709103769389,0.48206602483943656,0.9979996271477883,35,mse,mse
3,COMPLETE,2.6631176471710205,171.50035095214844,0.0002730620083020756,0.0004576243342997029,0.5259691952674798,0.9973655024933199,73,mse,mse
4,COMPLETE,1.9362276792526245,264.4836120605469,0.00032606279936737704,0.00013337090493009877,0.5246147981489678,0.9906430761918695,62,mse,bce
