number,state,value_0,value_1,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator,value
0,COMPLETE,2.1712851524353027,43.215946197509766,0.00012992054099248142,0.0002762658121455357,0.5228168518107164,0.9914038544431122,24,mse,bce,
1,COMPLETE,2.3099255561828613,30.19916343688965,0.00011363971295085811,0.0003730824170695747,0.5168438568403171,0.9919805681716289,38,mse,bce,
2,COMPLETE,2.417612314224243,41.76036071777344,0.00040261595972784054,0.00022808494713951854,0.4503956123137506,0.9930923012617255,62,mse,mse,
3,COMPLETE,2.443772077560425,47.35957717895508,0.00017794415178607137,0.00012916055664623604,0.484660097190693,0.9982341678305683,51,mse,bce,
4,COMPLETE,2.2467803955078125,60.042213439941406,0.00037643866586043736,0.00011776204010828315,0.5336378720876953,0.9907193952303666,77,mse,mse,
5,COMPLETE,2.3502156734466553,39.93231201171875,0.00029824967743496007,0.0003277187509994037,0.45378562432104186,0.9905124144578829,329,mse,mse,
6,COMPLETE,2.407992124557495,44.23247146606445,0.00019813180422204588,0.0003660359678184656,0.5119099346265943,0.995843785563071,170,mse,bce,
7,COMPLETE,2.1245744228363037,101.1213150024414,0.00027691059317301315,0.00014045297904921486,0.4659701733331749,0.9932132274336626,181,mse,bce,
8,COMPLETE,1.9666073322296143,121.1887435913086,0.00034605204724990544,0.000158201441063978,0.5034833259310256,0.9961139353813862,343,mse,bce,
9,COMPLETE,2.0639572143554688,89.52717590332031,0.00046923900454924974,0.00032589947676545447,0.5416919924042992,0.9922259190015441,165,mse,bce,
10,FAIL,,,0.00036638568264297334,0.00028315105484627285,0.491857824772577,0.9923842737114092,171,mse,bce,
