Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.1817    |   0.0792   |  97.50%  |   0.0250   |  0.9895   | 0.8258 |   0.9986    | 0.9731 | 0.0014 | 0.1742 |  0.9002  | 0.9002
   37 |  0.1803    |   0.0839   |  97.34%  |   0.0266   |  0.9929   | 0.8136 |   0.9991    | 0.9709 | 0.0009 | 0.1864 |  0.8944  | 0.8944
   38 |  0.1778    |   0.0796   |  97.51%  |   0.0249   |  0.9903   | 0.8254 |   0.9987    | 0.9731 | 0.0013 | 0.1746 |  0.9004  | 0.9004
   39 |  0.1718    |   0.0822   |  97.60%  |   0.0240   |  0.9894   | 0.8312 |   0.9986    | 0.9743 | 0.0014 | 0.1688 |  0.9035  | 0.9035
   40 |  0.1676    |   0.0797   |  97.61%  |   0.0239   |  0.9895   | 0.8322 |   0.9986    | 0.9744 | 0.0014 | 0.1678 |  0.9041  | 0.9041
   41 |  0.1674    |   0.0795   |  97.61%  |   0.0239   |  0.9903   | 0.8311 |   0.9987    | 0.9743 | 0.0013 | 0.1689 |  0.9037  | 0.9037
   42 |  0.1634    |   0.0804   |  97.46%  |   0.0254   |  0.9894   | 0.8226 |   0.9986    | 0.9727 | 0.0014 | 0.1774 |  0.8983  | 0.8983
   43 |  0.1605    |   0.0734   |  97.68%  |   0.0232   |  0.9929   | 0.8336 |   0.9991    | 0.9747 | 0.0009 | 0.1664 |  0.9063  | 0.9063
   44 |  0.1639    |   0.0771   |  97.56%  |   0.0244   |  0.9929   | 0.8262 |   0.9991    | 0.9734 | 0.0009 | 0.1738 |  0.9019  | 0.9019
   45 |  0.1576    |   0.0789   |  97.51%  |   0.0249   |  0.9912   | 0.8248 |   0.9988    | 0.9730 | 0.0012 | 0.1752 |  0.9004  | 0.9004
   46 |  0.1562    |   0.0685   |  97.71%  |   0.0229   |  0.9912   | 0.8371 |   0.9988    | 0.9753 | 0.0012 | 0.1629 |  0.9076  | 0.9076
   47 |  0.1528    |   0.0705   |  97.84%  |   0.0216   |  0.9938   | 0.8432 |   0.9992    | 0.9764 | 0.0008 | 0.1568 |  0.9123  | 0.9123
   48 |  0.1512    |   0.0698   |  97.86%  |   0.0214   |  0.9903   | 0.8469 |   0.9987    | 0.9771 | 0.0013 | 0.1531 |  0.9130  | 0.9130
   49 |  0.1498    |   0.0700   |  97.84%  |   0.0216   |  0.9903   | 0.8457 |   0.9987    | 0.9769 | 0.0013 | 0.1543 |  0.9123  | 0.9123
