Epoch	Train Loss	Test Loss
1	0.079479	0.043306
2	0.037387	0.032465
3	0.028911	0.026524
4	0.024716	0.023454
5	0.022366	0.021714
6	0.021032	0.020616
7	0.020147	0.019990
8	0.019682	0.019646
9	0.019399	0.019336
10	0.019183	0.019189
11	0.019017	0.019099
12	0.018875	0.018913
13	0.018750	0.019083
14	0.018654	0.018775
15	0.018570	0.018752
16	0.018487	0.018815
17	0.018416	0.018544
18	0.018367	0.018510
19	0.018295	0.018467
20	0.018243	0.018397
21	0.018194	0.018458
22	0.018150	0.018442
23	0.018113	0.018318
24	0.018072	0.018287
25	0.018032	0.018389
26	0.018007	0.018258
27	0.017961	0.018269
28	0.017944	0.018311

Best Test Loss: 0.018258 at Epoch 26
Min. Loss Distance: 0.000006 at Epoch 10
