Epoch	Train Loss	Test Loss
1	0.077685	0.045692
2	0.039792	0.035118
3	0.031421	0.028839
4	0.026793	0.027728
5	0.024017	0.023197
6	0.021989	0.021279
7	0.020407	0.019753
8	0.019025	0.018955
9	0.017642	0.017468
10	0.016745	0.017078
11	0.016099	0.016186
12	0.015433	0.015931
13	0.014737	0.015118
14	0.014167	0.014090
15	0.013611	0.013612
16	0.013161	0.013315
17	0.012756	0.013103
18	0.012464	0.012524
19	0.012149	0.012490
20	0.011885	0.011746
21	0.011648	0.011788
22	0.011429	0.011537
23	0.011212	0.011912
24	0.010993	0.011299
25	0.010837	0.011220
26	0.010667	0.011280
27	0.010481	0.010748
28	0.010373	0.010891
29	0.010308	0.010565
30	0.010204	0.010907
31	0.010087	0.010370
32	0.010064	0.010361
33	0.009978	0.010232
34	0.009911	0.010377
35	0.009869	0.010304
36	0.009807	0.010009
37	0.009760	0.010279
38	0.009727	0.010169
39	0.009673	0.010064
40	0.009641	0.009866
41	0.009606	0.009945
42	0.009559	0.009884
43	0.009536	0.010146
44	0.009527	0.010160

Best Test Loss: 0.009866 at Epoch 40
Min. Loss Distance: 0.000002 at Epoch 15
