Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
    1 |  0.9847    |   0.2592   |  92.28%  |   0.0772   |  0.9806   | 0.5972 |   0.9973    | 0.9154 | 0.0027 | 0.4028 |  0.7423  | 0.7423
    2 |  0.3662    |   0.1461   |  95.47%  |   0.0453   |  0.9920   | 0.7147 |   0.9989    | 0.9500 | 0.0011 | 0.2853 |  0.8308  | 0.8308
    3 |  0.2553    |   0.1129   |  96.53%  |   0.0347   |  0.9920   | 0.7685 |   0.9989    | 0.9619 | 0.0011 | 0.2315 |  0.8661  | 0.8661
    4 |  0.2050    |   0.0940   |  97.00%  |   0.0300   |  0.9860   | 0.7987 |   0.9981    | 0.9679 | 0.0019 | 0.2013 |  0.8825  | 0.8825
    5 |  0.1780    |   0.0830   |  97.23%  |   0.0277   |  0.9912   | 0.8081 |   0.9988    | 0.9699 | 0.0012 | 0.1919 |  0.8903  | 0.8903
    6 |  0.1563    |   0.0749   |  97.54%  |   0.0246   |  0.9894   | 0.8278 |   0.9986    | 0.9736 | 0.0014 | 0.1722 |  0.9014  | 0.9014
    7 |  0.1428    |   0.0723   |  97.70%  |   0.0230   |  0.9921   | 0.8361 |   0.9990    | 0.9751 | 0.0010 | 0.1639 |  0.9074  | 0.9074
    8 |  0.1302    |   0.0608   |  98.00%  |   0.0200   |  0.9903   | 0.8564 |   0.9987    | 0.9787 | 0.0013 | 0.1436 |  0.9185  | 0.9185
    9 |  0.1213    |   0.0633   |  98.00%  |   0.0200   |  0.9956   | 0.8522 |   0.9994    | 0.9780 | 0.0006 | 0.1478 |  0.9183  | 0.9183
   10 |  0.1125    |   0.0605   |  98.08%  |   0.0192   |  0.9912   | 0.8610 |   0.9988    | 0.9795 | 0.0012 | 0.1390 |  0.9215  | 0.9215
   11 |  0.1074    |   0.0538   |  98.24%  |   0.0176   |  0.9921   | 0.8709 |   0.9990    | 0.9812 | 0.0010 | 0.1291 |  0.9276  | 0.9276
   12 |  0.1026    |   0.0542   |  98.26%  |   0.0174   |  0.9921   | 0.8723 |   0.9990    | 0.9814 | 0.0010 | 0.1277 |  0.9283  | 0.9283
   13 |  0.0969    |   0.0482   |  98.49%  |   0.0151   |  0.9921   | 0.8884 |   0.9990    | 0.9840 | 0.0010 | 0.1116 |  0.9374  | 0.9374
   14 |  0.0933    |   0.0560   |  98.29%  |   0.0171   |  0.9965   | 0.8708 |   0.9995    | 0.9812 | 0.0005 | 0.1292 |  0.9294  | 0.9294
   15 |  0.0899    |   0.0473   |  98.55%  |   0.0145   |  0.9947   | 0.8906 |   0.9993    | 0.9843 | 0.0007 | 0.1094 |  0.9398  | 0.9398
   16 |  0.0882    |   0.0434   |  98.54%  |   0.0146   |  0.9886   | 0.8949 |   0.9985    | 0.9850 | 0.0015 | 0.1051 |  0.9394  | 0.9394
   17 |  0.0855    |   0.0488   |  98.36%  |   0.0164   |  0.9929   | 0.8782 |   0.9991    | 0.9824 | 0.0009 | 0.1218 |  0.9321  | 0.9321
   18 |  0.0811    |   0.0470   |  98.49%  |   0.0151   |  0.9904   | 0.8900 |   0.9987    | 0.9842 | 0.0013 | 0.1100 |  0.9375  | 0.9375
   19 |  0.0771    |   0.0443   |  98.73%  |   0.0127   |  0.9956   | 0.9024 |   0.9994    | 0.9862 | 0.0006 | 0.0976 |  0.9467  | 0.9467
   20 |  0.0787    |   0.0420   |  98.50%  |   0.0150   |  0.9921   | 0.8889 |   0.9990    | 0.9841 | 0.0010 | 0.1111 |  0.9377  | 0.9377
   21 |  0.0745    |   0.0415   |  98.72%  |   0.0128   |  0.9921   | 0.9046 |   0.9990    | 0.9866 | 0.0010 | 0.0954 |  0.9463  | 0.9463
   22 |  0.0711    |   0.0370   |  98.78%  |   0.0122   |  0.9904   | 0.9108 |   0.9987    | 0.9875 | 0.0013 | 0.0892 |  0.9489  | 0.9489
   23 |  0.0708    |   0.0394   |  98.76%  |   0.0124   |  0.9921   | 0.9076 |   0.9990    | 0.9870 | 0.0010 | 0.0924 |  0.9479  | 0.9479
   24 |  0.0670    |   0.0358   |  98.85%  |   0.0115   |  0.9930   | 0.9137 |   0.9991    | 0.9879 | 0.0009 | 0.0863 |  0.9517  | 0.9517
   25 |  0.0649    |   0.0362   |  98.86%  |   0.0114   |  0.9912   | 0.9157 |   0.9989    | 0.9883 | 0.0011 | 0.0843 |  0.9520  | 0.9520
   26 |  0.0663    |   0.0362   |  98.89%  |   0.0111   |  0.9947   | 0.9150 |   0.9993    | 0.9882 | 0.0007 | 0.0850 |  0.9532  | 0.9532
   27 |  0.0630    |   0.0389   |  98.79%  |   0.0121   |  0.9939   | 0.9085 |   0.9992    | 0.9871 | 0.0008 | 0.0915 |  0.9493  | 0.9493
   28 |  0.0618    |   0.0369   |  98.74%  |   0.0126   |  0.9938   | 0.9046 |   0.9992    | 0.9866 | 0.0008 | 0.0954 |  0.9471  | 0.9471
   29 |  0.0617    |   0.0360   |  98.77%  |   0.0123   |  0.9921   | 0.9084 |   0.9990    | 0.9871 | 0.0010 | 0.0916 |  0.9484  | 0.9484
   30 |  0.0595    |   0.0343   |  98.92%  |   0.0108   |  0.9912   | 0.9203 |   0.9989    | 0.9889 | 0.0011 | 0.0797 |  0.9545  | 0.9545
   31 |  0.0582    |   0.0300   |  99.03%  |   0.0097   |  0.9947   | 0.9255 |   0.9993    | 0.9897 | 0.0007 | 0.0745 |  0.9589  | 0.9589
   32 |  0.0578    |   0.0391   |  98.71%  |   0.0129   |  0.9878   | 0.9078 |   0.9984    | 0.9870 | 0.0016 | 0.0922 |  0.9461  | 0.9461
   33 |  0.0573    |   0.0350   |  98.80%  |   0.0120   |  0.9947   | 0.9084 |   0.9993    | 0.9871 | 0.0007 | 0.0916 |  0.9496  | 0.9496
   34 |  0.0544    |   0.0371   |  98.79%  |   0.0121   |  0.9947   | 0.9079 |   0.9993    | 0.9870 | 0.0007 | 0.0921 |  0.9493  | 0.9493
   35 |  0.0547    |   0.0400   |  98.74%  |   0.0126   |  0.9912   | 0.9069 |   0.9989    | 0.9869 | 0.0011 | 0.0931 |  0.9472  | 0.9472
   36 |  0.0514    |   0.0333   |  99.01%  |   0.0099   |  0.9939   | 0.9248 |   0.9992    | 0.9896 | 0.0008 | 0.0752 |  0.9581  | 0.9581
