Epoch	Train Loss	Test Loss
1	0.172352	0.066790
2	0.051921	0.039745
3	0.036142	0.031571
4	0.030015	0.027337
5	0.026680	0.024844
6	0.024609	0.023224
7	0.023177	0.022123
8	0.022105	0.021420
9	0.021246	0.020667
10	0.020545	0.020066
11	0.019956	0.019527
12	0.019470	0.019156
13	0.019039	0.018782
14	0.018675	0.018477
15	0.018347	0.018289
16	0.018066	0.018022
17	0.017799	0.017776
18	0.017564	0.017640
19	0.017349	0.017481
20	0.017155	0.017252
21	0.016971	0.017102
22	0.016814	0.017044
23	0.016666	0.016954
24	0.016518	0.016777
25	0.016395	0.016645
26	0.016265	0.016441
27	0.016160	0.016478
28	0.016039	0.016394
29	0.015929	0.016354
30	0.015843	0.016176
31	0.015748	0.016105
32	0.015655	0.016084
33	0.015568	0.016114
34	0.015495	0.015962
35	0.015422	0.015916
36	0.015341	0.015793
37	0.015278	0.015807
38	0.015208	0.015674
39	0.015147	0.015681
40	0.015077	0.015644
41	0.015025	0.015621
42	0.014970	0.015446
43	0.014911	0.015398
44	0.014857	0.015459
45	0.014818	0.015355
46	0.014764	0.015406
47	0.014715	0.015359
48	0.014668	0.015329
49	0.014620	0.015175
50	0.014583	0.015266
51	0.014542	0.015227
52	0.014495	0.015170
53	0.014452	0.015152
54	0.014419	0.015064
55	0.014391	0.015017
56	0.014350	0.015070
57	0.014312	0.015017
58	0.014282	0.014962
59	0.014247	0.015031
60	0.014213	0.014968
61	0.014184	0.014880
62	0.014153	0.014887
63	0.014122	0.014914

Best Test Loss: 0.014880 at Epoch 61
Min. Loss Distance: 0.000023 at Epoch 17
