Epoch	Train Loss	Test Loss
1	0.365159	0.365097
2	0.362700	0.365097
3	0.362701	0.365097
4	0.362696	0.365097
5	0.362699	0.365097
6	0.362712	0.365097
7	0.362711	0.365097
8	0.362713	0.365097
9	0.362699	0.365097
10	0.362729	0.365097
11	0.362694	0.365097
12	0.362706	0.365097
13	0.362713	0.365097
14	0.362712	0.365097
15	0.362706	0.365097
16	0.362711	0.365097
17	0.362698	0.365097
18	0.362704	0.365097
19	0.362708	0.365097
20	0.362709	0.365097
21	0.362697	0.365097
22	0.362694	0.365097
23	0.362705	0.365097
24	0.362710	0.365097
25	0.362737	0.365097
26	0.362701	0.365097
27	0.362692	0.365097
28	0.362704	0.365097
29	0.362703	0.365097
30	0.362702	0.365097
31	0.362710	0.365097
32	0.362715	0.365097
33	0.362698	0.365097
34	0.362691	0.365097
35	0.362702	0.365097
36	0.362704	0.365097
37	0.362722	0.365097
38	0.362718	0.365097
39	0.362712	0.365097
40	0.362717	0.365097
41	0.362720	0.365097
42	0.362702	0.365097
43	0.362708	0.365097
44	0.362685	0.365097
45	0.362699	0.365097
46	0.362696	0.365097
47	0.362695	0.365097
48	0.362709	0.365097
49	0.362694	0.365097
50	0.362721	0.365097
51	0.362683	0.365097
52	0.362704	0.365097
53	0.362703	0.365097
54	0.362709	0.365097
55	0.362706	0.365097
56	0.362691	0.365097
57	0.362701	0.365097
58	0.362695	0.365097
59	0.362700	0.365097

Best Test Loss: 0.365097 at Epoch 1
Min. Loss Distance: 0.000062 at Epoch 1
