Epoch	Train Loss	Test Loss
1	0.079137	0.048718
2	0.041230	0.036255
3	0.032934	0.030853
4	0.028016	0.026988
5	0.025188	0.024345
6	0.022980	0.022004
7	0.021257	0.020671
8	0.019850	0.019352
9	0.018534	0.018287
10	0.017468	0.017777
11	0.016681	0.016550
12	0.015992	0.015863
13	0.015356	0.015148
14	0.014671	0.014639
15	0.014166	0.014721
16	0.013664	0.013959
17	0.013255	0.013352
18	0.012890	0.013159
19	0.012594	0.012538
20	0.012250	0.012606
21	0.011972	0.012233
22	0.011696	0.011835
23	0.011461	0.011963
24	0.011267	0.011580
25	0.011063	0.011628
26	0.010929	0.011065
27	0.010742	0.011144
28	0.010597	0.011035
29	0.010490	0.010822
30	0.010368	0.010724
31	0.010252	0.010484
32	0.010209	0.010342
33	0.010078	0.010333
34	0.010054	0.010395
35	0.009969	0.010509

Best Test Loss: 0.010333 at Epoch 33
Min. Loss Distance: 0.000032 at Epoch 14
