Epoch	Train Loss	Test Loss
1	0.101966	0.032278
2	0.027482	0.023882
3	0.022251	0.020866
4	0.020163	0.019106
5	0.018928	0.018845
6	0.018126	0.017938
7	0.017544	0.017324
8	0.017044	0.016866
9	0.016641	0.016943
10	0.016318	0.016298
11	0.016026	0.016421
12	0.015773	0.015924
13	0.015561	0.015870
14	0.015395	0.015871
15	0.015204	0.015787
16	0.015077	0.015461
17	0.014925	0.015463
18	0.014794	0.015308
19	0.014690	0.015151
20	0.014585	0.015080
21	0.014483	0.014986
22	0.014399	0.015060
23	0.014311	0.015039
24	0.014230	0.014971
25	0.014155	0.014826
26	0.014092	0.014757
27	0.014018	0.014716
28	0.013963	0.014752
29	0.013907	0.014668
30	0.013838	0.014625
31	0.013799	0.014660
32	0.013740	0.014591
33	0.013691	0.014516
34	0.013644	0.014425
35	0.013597	0.014411
36	0.013557	0.014388
37	0.013507	0.014441
38	0.013468	0.014391
39	0.013433	0.014258
40	0.013389	0.014367
41	0.013352	0.014330
42	0.013323	0.014299
43	0.013290	0.014269
44	0.013252	0.014123
45	0.013222	0.014184
46	0.013201	0.014294

Best Test Loss: 0.014123 at Epoch 44
Min. Loss Distance: 0.000020 at Epoch 10
