Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.1465    |   0.0742   |  97.64%  |   0.0236   |  0.9912   | 0.8327 |   0.9988    | 0.9745 | 0.0012 | 0.1673 |  0.9051  | 0.9051
   37 |  0.1448    |   0.0659   |  97.76%  |   0.0224   |  0.9903   | 0.8409 |   0.9987    | 0.9760 | 0.0013 | 0.1591 |  0.9095  | 0.9095
   38 |  0.1395    |   0.0721   |  97.64%  |   0.0236   |  0.9895   | 0.8347 |   0.9986    | 0.9747 | 0.0014 | 0.1653 |  0.9055  | 0.9055
   39 |  0.1415    |   0.0674   |  97.77%  |   0.0223   |  0.9920   | 0.8398 |   0.9990    | 0.9759 | 0.0010 | 0.1602 |  0.9096  | 0.9096
   40 |  0.1367    |   0.0671   |  97.86%  |   0.0214   |  0.9877   | 0.8492 |   0.9984    | 0.9774 | 0.0016 | 0.1508 |  0.9132  | 0.9132
   41 |  0.1390    |   0.0692   |  97.74%  |   0.0226   |  0.9860   | 0.8432 |   0.9982    | 0.9763 | 0.0018 | 0.1568 |  0.9090  | 0.9090
   42 |  0.1340    |   0.0660   |  97.88%  |   0.0212   |  0.9912   | 0.8477 |   0.9988    | 0.9772 | 0.0012 | 0.1523 |  0.9138  | 0.9138
   43 |  0.1313    |   0.0689   |  97.95%  |   0.0205   |  0.9912   | 0.8527 |   0.9988    | 0.9780 | 0.0012 | 0.1473 |  0.9168  | 0.9168
   44 |  0.1323    |   0.0649   |  97.90%  |   0.0210   |  0.9982   | 0.8443 |   0.9998    | 0.9766 | 0.0002 | 0.1557 |  0.9148  | 0.9148
   45 |  0.1259    |   0.0624   |  98.01%  |   0.0199   |  0.9912   | 0.8562 |   0.9988    | 0.9787 | 0.0012 | 0.1438 |  0.9187  | 0.9187
   46 |  0.1258    |   0.0630   |  98.01%  |   0.0199   |  0.9920   | 0.8553 |   0.9990    | 0.9786 | 0.0010 | 0.1447 |  0.9186  | 0.9186
   47 |  0.1252    |   0.0599   |  98.08%  |   0.0192   |  0.9947   | 0.8578 |   0.9993    | 0.9790 | 0.0007 | 0.1422 |  0.9212  | 0.9212
   48 |  0.1227    |   0.0628   |  97.92%  |   0.0208   |  0.9895   | 0.8520 |   0.9986    | 0.9779 | 0.0014 | 0.1480 |  0.9156  | 0.9156
   49 |  0.1240    |   0.0547   |  98.26%  |   0.0174   |  0.9912   | 0.8726 |   0.9989    | 0.9815 | 0.0011 | 0.1274 |  0.9281  | 0.9281
   50 |  0.1198    |   0.0577   |  98.27%  |   0.0173   |  0.9877   | 0.8765 |   0.9984    | 0.9821 | 0.0016 | 0.1235 |  0.9288  | 0.9288
   51 |  0.1169    |   0.0588   |  98.12%  |   0.0188   |  0.9903   | 0.8642 |   0.9987    | 0.9800 | 0.0013 | 0.1358 |  0.9230  | 0.9230
   52 |  0.1168    |   0.0565   |  98.13%  |   0.0187   |  0.9903   | 0.8647 |   0.9987    | 0.9801 | 0.0013 | 0.1353 |  0.9233  | 0.9233
