Epoch	Train Loss	Test Loss
1	0.097109	0.078156
2	0.074674	0.073629
3	0.072080	0.071941
4	0.071091	0.071548
5	0.070499	0.071020
6	0.070096	0.070528
7	0.069816	0.070210
8	0.069589	0.069928
9	0.069350	0.069787
10	0.069142	0.069763
11	0.068977	0.069557
12	0.068815	0.069804
13	0.068601	0.069434
14	0.068450	0.069061
15	0.068311	0.069589
16	0.068200	0.068821
17	0.068063	0.068875
18	0.067958	0.068815
19	0.067849	0.068628
20	0.067701	0.068691
21	0.067631	0.068861

Best Test Loss: 0.068628 at Epoch 19
Min. Loss Distance: 0.000139 at Epoch 3
