Epoch	Train Loss	Test Loss
1	0.078664	0.046044
2	0.039736	0.034937
3	0.031418	0.028810
4	0.027105	0.025905
5	0.024310	0.023123
6	0.022281	0.021594
7	0.020690	0.020395
8	0.019273	0.018708
9	0.018032	0.017929
10	0.017033	0.016977
11	0.016193	0.016396
12	0.015483	0.015260
13	0.014815	0.014786
14	0.014292	0.014758
15	0.013794	0.014097
16	0.013375	0.013622
17	0.012908	0.013010
18	0.012612	0.012773
19	0.012236	0.013058
20	0.011973	0.012507
21	0.011703	0.012319
22	0.011479	0.011551
23	0.011270	0.011592
24	0.011098	0.011518
25	0.010907	0.011272
26	0.010706	0.010966
27	0.010552	0.010683
28	0.010422	0.010594
29	0.010340	0.010600
30	0.010208	0.010596
31	0.010164	0.010308
32	0.010030	0.010401
33	0.009975	0.010405

Best Test Loss: 0.010308 at Epoch 31
Min. Loss Distance: 0.000028 at Epoch 13
