Epoch	Train Loss	Test Loss
1	0.125832	0.082303
2	0.069649	0.060048
3	0.053769	0.049019
4	0.045444	0.042776
5	0.040878	0.039279
6	0.037532	0.036102
7	0.035004	0.034172
8	0.033001	0.032178
9	0.030893	0.031985
10	0.029115	0.028884
11	0.027758	0.027391
12	0.026548	0.026730
13	0.025464	0.025166
14	0.024502	0.024296
15	0.023597	0.023191
16	0.022800	0.022743
17	0.022117	0.022124
18	0.021514	0.021259
19	0.020955	0.020889
20	0.020424	0.020200
21	0.019903	0.019698
22	0.019369	0.020167
23	0.018859	0.018728
24	0.018348	0.018228
25	0.017939	0.017800
26	0.017574	0.017510
27	0.017277	0.017288
28	0.016985	0.016881
29	0.016715	0.016719
30	0.016440	0.016459
31	0.016164	0.016054
32	0.015878	0.015838
33	0.015628	0.015651
34	0.015391	0.015441
35	0.015172	0.015180
36	0.014964	0.014957
37	0.014769	0.014809
38	0.014578	0.014580
39	0.014395	0.014373
40	0.014229	0.014221
41	0.014063	0.014175
42	0.013888	0.013899
43	0.013724	0.013755
44	0.013568	0.013610
45	0.013404	0.013505
46	0.013262	0.013322
47	0.013141	0.013199
48	0.013025	0.013133
49	0.012900	0.012946
50	0.012791	0.013033
51	0.012678	0.012825
52	0.012569	0.012698
53	0.012451	0.012575
54	0.012349	0.012426
55	0.012250	0.012496
56	0.012147	0.012214
57	0.012041	0.012113
58	0.011946	0.012011
59	0.011851	0.011866
60	0.011775	0.012099
61	0.011681	0.011726
62	0.011602	0.011607
63	0.011507	0.011743
64	0.011427	0.011552
65	0.011339	0.011633
66	0.011251	0.011366
67	0.011176	0.011317
68	0.011105	0.011200
69	0.011037	0.011142
70	0.010977	0.011317
71	0.010906	0.011096
72	0.010846	0.010910
73	0.010797	0.010858
74	0.010738	0.010811
75	0.010700	0.010969
76	0.010640	0.010866
77	0.010604	0.010948
78	0.010563	0.010655
79	0.010534	0.010731
80	0.010489	0.010575
81	0.010461	0.010536
82	0.010437	0.010506
83	0.010392	0.010517
84	0.010375	0.010479
85	0.010354	0.010480
86	0.010331	0.010571

Best Test Loss: 0.010479 at Epoch 84
Min. Loss Distance: 0.000001 at Epoch 38
