Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.0228    |   0.0278   |  99.16%  |   0.0084   |  0.9965   | 0.9339 |   0.9995    | 0.9910 | 0.0005 | 0.0661 |  0.9642  | 0.9642
   37 |  0.0243    |   0.0271   |  98.94%  |   0.0106   |  0.9887   | 0.9241 |   0.9985    | 0.9895 | 0.0015 | 0.0759 |  0.9553  | 0.9553
   38 |  0.0232    |   0.0252   |  99.13%  |   0.0087   |  0.9913   | 0.9364 |   0.9989    | 0.9913 | 0.0011 | 0.0636 |  0.9630  | 0.9630
   39 |  0.0232    |   0.0267   |  99.16%  |   0.0084   |  0.9921   | 0.9380 |   0.9990    | 0.9915 | 0.0010 | 0.0620 |  0.9643  | 0.9643
   40 |  0.0242    |   0.0252   |  99.12%  |   0.0088   |  0.9861   | 0.9403 |   0.9982    | 0.9919 | 0.0018 | 0.0597 |  0.9627  | 0.9627
   41 |  0.0222    |   0.0276   |  99.13%  |   0.0087   |  0.9913   | 0.9365 |   0.9989    | 0.9913 | 0.0011 | 0.0635 |  0.9631  | 0.9631
   42 |  0.0220    |   0.0262   |  99.16%  |   0.0084   |  0.9895   | 0.9403 |   0.9986    | 0.9919 | 0.0014 | 0.0597 |  0.9643  | 0.9643
   43 |  0.0211    |   0.0284   |  99.05%  |   0.0095   |  0.9921   | 0.9294 |   0.9990    | 0.9903 | 0.0010 | 0.0706 |  0.9597  | 0.9597
   44 |  0.0192    |   0.0231   |  99.35%  |   0.0065   |  0.9974   | 0.9481 |   0.9997    | 0.9930 | 0.0003 | 0.0519 |  0.9721  | 0.9721
   45 |  0.0210    |   0.0235   |  99.21%  |   0.0079   |  0.9930   | 0.9409 |   0.9991    | 0.9920 | 0.0009 | 0.0591 |  0.9663  | 0.9663
   46 |  0.0214    |   0.0255   |  99.24%  |   0.0076   |  0.9947   | 0.9418 |   0.9993    | 0.9921 | 0.0007 | 0.0582 |  0.9675  | 0.9675
   47 |  0.0192    |   0.0274   |  99.11%  |   0.0089   |  0.9939   | 0.9325 |   0.9992    | 0.9907 | 0.0008 | 0.0675 |  0.9622  | 0.9622
   48 |  0.0200    |   0.0250   |  99.21%  |   0.0079   |  0.9956   | 0.9385 |   0.9994    | 0.9917 | 0.0006 | 0.0615 |  0.9662  | 0.9662
