Epoch	Train Loss	Test Loss
1	0.171705	0.107885
2	0.097559	0.085528
3	0.081273	0.074357
4	0.072184	0.066441
5	0.066576	0.063072
6	0.063274	0.060261
7	0.060798	0.057830
8	0.058861	0.056941
9	0.057290	0.055489
10	0.055954	0.054510
11	0.054875	0.053317
12	0.053976	0.052296
13	0.053163	0.051362
14	0.052448	0.051679
15	0.051787	0.050942
16	0.051207	0.050324
17	0.050664	0.050099
18	0.050121	0.049795
19	0.049679	0.048707
20	0.049109	0.049045
21	0.048762	0.047845
22	0.048350	0.047493
23	0.048010	0.047177
24	0.047612	0.046572
25	0.047223	0.046702
26	0.046917	0.046375
27	0.046601	0.046156
28	0.046276	0.046039
29	0.046015	0.046028
30	0.045684	0.045050
31	0.045505	0.045217
32	0.045209	0.045298

Best Test Loss: 0.045050 at Epoch 30
Min. Loss Distance: 0.000013 at Epoch 29
