Epoch	Train Loss	Test Loss
1	0.076685	0.044334
2	0.038589	0.034608
3	0.031497	0.028658
4	0.026525	0.024965
5	0.023757	0.022916
6	0.022085	0.021537
7	0.021041	0.020890
8	0.020386	0.020385
9	0.020009	0.019958
10	0.019764	0.019781
11	0.019563	0.019541
12	0.019410	0.019506
13	0.019263	0.019422
14	0.019162	0.019255
15	0.019053	0.019251
16	0.018968	0.019055
17	0.018890	0.019054
18	0.018818	0.018999
19	0.018758	0.018925
20	0.018694	0.018883
21	0.018654	0.018784
22	0.018590	0.018835
23	0.018531	0.018822
24	0.018494	0.018730
25	0.018454	0.018591
26	0.018415	0.018639
27	0.018377	0.018563
28	0.018335	0.018580
29	0.018301	0.018526
30	0.018268	0.018540
31	0.018236	0.018514
32	0.018206	0.018549
33	0.018178	0.018443
34	0.018148	0.018401
35	0.018117	0.018492
36	0.018100	0.018389
37	0.018067	0.018361
38	0.018045	0.018325
39	0.018015	0.018293
40	0.017998	0.018379
41	0.017977	0.018383

Best Test Loss: 0.018293 at Epoch 39
Min. Loss Distance: 0.000000 at Epoch 8
