Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.0511    |   0.0291   |  98.96%  |   0.0104   |  0.9956   | 0.9194 |   0.9994    | 0.9888 | 0.0006 | 0.0806 |  0.9560  | 0.9560
   37 |  0.0510    |   0.0319   |  99.02%  |   0.0098   |  0.9886   | 0.9302 |   0.9985    | 0.9904 | 0.0015 | 0.0698 |  0.9585  | 0.9585
   38 |  0.0509    |   0.0309   |  99.02%  |   0.0098   |  0.9938   | 0.9252 |   0.9992    | 0.9897 | 0.0008 | 0.0748 |  0.9583  | 0.9583
   39 |  0.0481    |   0.0301   |  99.05%  |   0.0095   |  0.9973   | 0.9245 |   0.9997    | 0.9896 | 0.0003 | 0.0755 |  0.9596  | 0.9596
   40 |  0.0488    |   0.0272   |  99.19%  |   0.0081   |  0.9913   | 0.9410 |   0.9989    | 0.9920 | 0.0011 | 0.0590 |  0.9655  | 0.9655
   41 |  0.0458    |   0.0273   |  99.19%  |   0.0081   |  0.9947   | 0.9379 |   0.9993    | 0.9915 | 0.0007 | 0.0621 |  0.9655  | 0.9655
   42 |  0.0455    |   0.0258   |  99.11%  |   0.0089   |  0.9965   | 0.9298 |   0.9995    | 0.9904 | 0.0005 | 0.0702 |  0.9619  | 0.9619
   43 |  0.0444    |   0.0305   |  98.94%  |   0.0106   |  0.9930   | 0.9205 |   0.9991    | 0.9889 | 0.0009 | 0.0795 |  0.9553  | 0.9553
   44 |  0.0467    |   0.0273   |  99.13%  |   0.0087   |  0.9947   | 0.9331 |   0.9993    | 0.9909 | 0.0007 | 0.0669 |  0.9629  | 0.9629
   45 |  0.0440    |   0.0297   |  99.05%  |   0.0095   |  0.9956   | 0.9260 |   0.9994    | 0.9899 | 0.0006 | 0.0740 |  0.9595  | 0.9595
   46 |  0.0455    |   0.0311   |  99.04%  |   0.0096   |  0.9947   | 0.9262 |   0.9993    | 0.9898 | 0.0007 | 0.0738 |  0.9592  | 0.9592
   47 |  0.0433    |   0.0279   |  99.10%  |   0.0090   |  0.9947   | 0.9308 |   0.9993    | 0.9905 | 0.0007 | 0.0692 |  0.9617  | 0.9617
   48 |  0.0438    |   0.0282   |  99.06%  |   0.0094   |  0.9938   | 0.9284 |   0.9992    | 0.9902 | 0.0008 | 0.0716 |  0.9600  | 0.9600
   49 |  0.0423    |   0.0299   |  99.08%  |   0.0092   |  0.9965   | 0.9278 |   0.9995    | 0.9901 | 0.0005 | 0.0722 |  0.9609  | 0.9609
   50 |  0.0411    |   0.0286   |  99.09%  |   0.0091   |  0.9939   | 0.9310 |   0.9992    | 0.9905 | 0.0008 | 0.0690 |  0.9614  | 0.9614
   51 |  0.0425    |   0.0277   |  99.24%  |   0.0076   |  0.9956   | 0.9410 |   0.9994    | 0.9920 | 0.0006 | 0.0590 |  0.9675  | 0.9675
   52 |  0.0414    |   0.0280   |  99.20%  |   0.0080   |  0.9956   | 0.9378 |   0.9994    | 0.9915 | 0.0006 | 0.0622 |  0.9658  | 0.9658
   53 |  0.0394    |   0.0254   |  99.11%  |   0.0089   |  0.9912   | 0.9346 |   0.9989    | 0.9911 | 0.0011 | 0.0654 |  0.9621  | 0.9621
   54 |  0.0404    |   0.0293   |  99.12%  |   0.0088   |  0.9938   | 0.9331 |   0.9992    | 0.9909 | 0.0008 | 0.0669 |  0.9625  | 0.9625
   55 |  0.0384    |   0.0293   |  99.07%  |   0.0093   |  0.9965   | 0.9272 |   0.9995    | 0.9900 | 0.0005 | 0.0728 |  0.9606  | 0.9606
   56 |  0.0402    |   0.0266   |  99.15%  |   0.0085   |  0.9956   | 0.9339 |   0.9994    | 0.9910 | 0.0006 | 0.0661 |  0.9638  | 0.9638
   57 |  0.0386    |   0.0271   |  99.16%  |   0.0084   |  0.9930   | 0.9370 |   0.9991    | 0.9914 | 0.0009 | 0.0630 |  0.9642  | 0.9642
   58 |  0.0394    |   0.0301   |  98.94%  |   0.0106   |  0.9938   | 0.9193 |   0.9992    | 0.9888 | 0.0008 | 0.0807 |  0.9551  | 0.9551
   59 |  0.0374    |   0.0286   |  99.03%  |   0.0097   |  0.9921   | 0.9278 |   0.9990    | 0.9901 | 0.0010 | 0.0722 |  0.9588  | 0.9588
   60 |  0.0386    |   0.0245   |  99.31%  |   0.0069   |  0.9939   | 0.9481 |   0.9992    | 0.9930 | 0.0008 | 0.0519 |  0.9704  | 0.9704
   61 |  0.0370    |   0.0266   |  99.16%  |   0.0084   |  0.9947   | 0.9354 |   0.9993    | 0.9912 | 0.0007 | 0.0646 |  0.9641  | 0.9641
   62 |  0.0370    |   0.0254   |  99.12%  |   0.0088   |  0.9921   | 0.9348 |   0.9990    | 0.9911 | 0.0010 | 0.0652 |  0.9626  | 0.9626
   63 |  0.0389    |   0.0252   |  99.27%  |   0.0073   |  0.9965   | 0.9425 |   0.9995    | 0.9922 | 0.0005 | 0.0575 |  0.9687  | 0.9687
   64 |  0.0372    |   0.0233   |  99.24%  |   0.0076   |  0.9947   | 0.9418 |   0.9993    | 0.9921 | 0.0007 | 0.0582 |  0.9675  | 0.9675
   65 |  0.0362    |   0.0243   |  99.26%  |   0.0074   |  0.9965   | 0.9419 |   0.9995    | 0.9921 | 0.0005 | 0.0581 |  0.9684  | 0.9684
   66 |  0.0345    |   0.0245   |  99.22%  |   0.0078   |  0.9912   | 0.9433 |   0.9989    | 0.9923 | 0.0011 | 0.0567 |  0.9667  | 0.9667
   67 |  0.0365    |   0.0239   |  99.22%  |   0.0078   |  0.9921   | 0.9426 |   0.9990    | 0.9922 | 0.0010 | 0.0574 |  0.9667  | 0.9667
   68 |  0.0361    |   0.0273   |  99.22%  |   0.0078   |  0.9947   | 0.9402 |   0.9993    | 0.9919 | 0.0007 | 0.0598 |  0.9667  | 0.9667
   69 |  0.0341    |   0.0253   |  99.24%  |   0.0076   |  0.9930   | 0.9434 |   0.9991    | 0.9923 | 0.0009 | 0.0566 |  0.9676  | 0.9676
   70 |  0.0356    |   0.0236   |  99.26%  |   0.0074   |  0.9956   | 0.9426 |   0.9994    | 0.9922 | 0.0006 | 0.0574 |  0.9684  | 0.9684
   71 |  0.0360    |   0.0246   |  99.24%  |   0.0076   |  0.9947   | 0.9419 |   0.9993    | 0.9921 | 0.0007 | 0.0581 |  0.9676  | 0.9676
   72 |  0.0335    |   0.0242   |  99.26%  |   0.0074   |  0.9947   | 0.9434 |   0.9993    | 0.9923 | 0.0007 | 0.0566 |  0.9684  | 0.9684
   73 |  0.0325    |   0.0224   |  99.24%  |   0.0076   |  0.9930   | 0.9433 |   0.9991    | 0.9923 | 0.0009 | 0.0567 |  0.9675  | 0.9675
   74 |  0.0333    |   0.0234   |  99.20%  |   0.0080   |  0.9939   | 0.9395 |   0.9992    | 0.9918 | 0.0008 | 0.0605 |  0.9659  | 0.9659
   75 |  0.0331    |   0.0291   |  99.25%  |   0.0075   |  0.9956   | 0.9418 |   0.9994    | 0.9921 | 0.0006 | 0.0582 |  0.9679  | 0.9679
   76 |  0.0326    |   0.0244   |  99.21%  |   0.0079   |  0.9973   | 0.9369 |   0.9997    | 0.9914 | 0.0003 | 0.0631 |  0.9662  | 0.9662
   77 |  0.0318    |   0.0262   |  99.15%  |   0.0085   |  0.9982   | 0.9315 |   0.9998    | 0.9906 | 0.0002 | 0.0685 |  0.9637  | 0.9637
   78 |  0.0327    |   0.0248   |  99.26%  |   0.0074   |  0.9956   | 0.9425 |   0.9994    | 0.9922 | 0.0006 | 0.0575 |  0.9683  | 0.9683
   79 |  0.0336    |   0.0264   |  99.22%  |   0.0078   |  0.9956   | 0.9394 |   0.9994    | 0.9918 | 0.0006 | 0.0606 |  0.9667  | 0.9667
   80 |  0.0319    |   0.0210   |  99.31%  |   0.0069   |  0.9939   | 0.9481 |   0.9992    | 0.9930 | 0.0008 | 0.0519 |  0.9704  | 0.9704
   81 |  0.0326    |   0.0256   |  99.25%  |   0.0075   |  0.9947   | 0.9425 |   0.9993    | 0.9922 | 0.0007 | 0.0575 |  0.9679  | 0.9679
   82 |  0.0308    |   0.0224   |  99.28%  |   0.0072   |  0.9939   | 0.9457 |   0.9992    | 0.9927 | 0.0008 | 0.0543 |  0.9692  | 0.9692
   83 |  0.0306    |   0.0253   |  99.10%  |   0.0090   |  0.9947   | 0.9308 |   0.9993    | 0.9905 | 0.0007 | 0.0692 |  0.9617  | 0.9617
   84 |  0.0312    |   0.0245   |  99.24%  |   0.0076   |  0.9947   | 0.9418 |   0.9993    | 0.9921 | 0.0007 | 0.0582 |  0.9675  | 0.9675
   85 |  0.0303    |   0.0244   |  99.36%  |   0.0064   |  0.9947   | 0.9512 |   0.9993    | 0.9935 | 0.0007 | 0.0488 |  0.9725  | 0.9725
   86 |  0.0309    |   0.0279   |  99.25%  |   0.0075   |  0.9965   | 0.9411 |   0.9995    | 0.9920 | 0.0005 | 0.0589 |  0.9680  | 0.9680
   87 |  0.0312    |   0.0244   |  99.25%  |   0.0075   |  0.9965   | 0.9410 |   0.9995    | 0.9920 | 0.0005 | 0.0590 |  0.9680  | 0.9680
   88 |  0.0287    |   0.0250   |  99.20%  |   0.0080   |  0.9930   | 0.9401 |   0.9991    | 0.9919 | 0.0009 | 0.0599 |  0.9658  | 0.9658
   89 |  0.0322    |   0.0258   |  99.23%  |   0.0077   |  0.9947   | 0.9408 |   0.9993    | 0.9920 | 0.0007 | 0.0592 |  0.9670  | 0.9670
   90 |  0.0324    |   0.0232   |  99.35%  |   0.0065   |  0.9939   | 0.9514 |   0.9992    | 0.9935 | 0.0008 | 0.0486 |  0.9722  | 0.9722
   91 |  0.0293    |   0.0260   |  99.20%  |   0.0080   |  0.9956   | 0.9379 |   0.9994    | 0.9915 | 0.0006 | 0.0621 |  0.9659  | 0.9659
   92 |  0.0299    |   0.0240   |  99.28%  |   0.0072   |  0.9939   | 0.9457 |   0.9992    | 0.9927 | 0.0008 | 0.0543 |  0.9692  | 0.9692
   93 |  0.0310    |   0.0192   |  99.46%  |   0.0054   |  0.9974   | 0.9570 |   0.9997    | 0.9942 | 0.0003 | 0.0430 |  0.9767  | 0.9767
   94 |  0.0287    |   0.0223   |  99.22%  |   0.0078   |  0.9956   | 0.9394 |   0.9994    | 0.9918 | 0.0006 | 0.0606 |  0.9667  | 0.9667
   95 |  0.0274    |   0.0223   |  99.26%  |   0.0074   |  0.9982   | 0.9399 |   0.9998    | 0.9919 | 0.0002 | 0.0601 |  0.9682  | 0.9682
   96 |  0.0296    |   0.0203   |  99.32%  |   0.0068   |  0.9921   | 0.9505 |   0.9990    | 0.9933 | 0.0010 | 0.0495 |  0.9709  | 0.9709
   97 |  0.0287    |   0.0256   |  99.31%  |   0.0069   |  0.9921   | 0.9497 |   0.9990    | 0.9932 | 0.0010 | 0.0503 |  0.9705  | 0.9705
   98 |  0.0283    |   0.0241   |  99.26%  |   0.0074   |  0.9973   | 0.9407 |   0.9997    | 0.9920 | 0.0003 | 0.0593 |  0.9682  | 0.9682
   99 |  0.0283    |   0.0211   |  99.23%  |   0.0077   |  0.9921   | 0.9433 |   0.9990    | 0.9923 | 0.0010 | 0.0567 |  0.9671  | 0.9671
  100 |  0.0278    |   0.0229   |  99.28%  |   0.0072   |  0.9921   | 0.9473 |   0.9990    | 0.9929 | 0.0010 | 0.0527 |  0.9692  | 0.9692
