Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   36 |  0.1630    |   0.0727   |  97.69%  |   0.0231   |  0.9947   | 0.8337 |   0.9993    | 0.9746 | 0.0007 | 0.1663 |  0.9071  | 0.9071
   37 |  0.1553    |   0.0707   |  97.71%  |   0.0229   |  0.9938   | 0.8353 |   0.9992    | 0.9750 | 0.0008 | 0.1647 |  0.9077  | 0.9077
   38 |  0.1570    |   0.0702   |  97.72%  |   0.0228   |  0.9851   | 0.8422 |   0.9980    | 0.9762 | 0.0020 | 0.1578 |  0.9081  | 0.9081
   39 |  0.1564    |   0.0715   |  97.72%  |   0.0228   |  0.9903   | 0.8384 |   0.9987    | 0.9755 | 0.0013 | 0.1616 |  0.9081  | 0.9081
   40 |  0.1495    |   0.0711   |  97.82%  |   0.0218   |  0.9903   | 0.8445 |   0.9987    | 0.9766 | 0.0013 | 0.1555 |  0.9116  | 0.9116
   41 |  0.1479    |   0.0662   |  97.99%  |   0.0201   |  0.9903   | 0.8557 |   0.9987    | 0.9786 | 0.0013 | 0.1443 |  0.9181  | 0.9181
   42 |  0.1484    |   0.0688   |  97.81%  |   0.0219   |  0.9929   | 0.8422 |   0.9991    | 0.9762 | 0.0009 | 0.1578 |  0.9114  | 0.9114
   43 |  0.1437    |   0.0620   |  98.06%  |   0.0194   |  0.9947   | 0.8568 |   0.9993    | 0.9788 | 0.0007 | 0.1432 |  0.9206  | 0.9206
   44 |  0.1449    |   0.0575   |  98.04%  |   0.0196   |  0.9956   | 0.8548 |   0.9994    | 0.9785 | 0.0006 | 0.1452 |  0.9198  | 0.9198
   45 |  0.1428    |   0.0621   |  98.24%  |   0.0176   |  0.9929   | 0.8702 |   0.9991    | 0.9811 | 0.0009 | 0.1298 |  0.9275  | 0.9275
   46 |  0.1381    |   0.0631   |  97.96%  |   0.0204   |  0.9895   | 0.8545 |   0.9986    | 0.9783 | 0.0014 | 0.1455 |  0.9171  | 0.9171
   47 |  0.1374    |   0.0571   |  98.21%  |   0.0179   |  0.9947   | 0.8667 |   0.9993    | 0.9805 | 0.0007 | 0.1333 |  0.9263  | 0.9263
   48 |  0.1352    |   0.0614   |  98.03%  |   0.0197   |  0.9912   | 0.8580 |   0.9988    | 0.9789 | 0.0012 | 0.1420 |  0.9198  | 0.9198
   49 |  0.1370    |   0.0630   |  98.00%  |   0.0200   |  0.9912   | 0.8560 |   0.9988    | 0.9786 | 0.0012 | 0.1440 |  0.9186  | 0.9186
   50 |  0.1337    |   0.0578   |  98.14%  |   0.0186   |  0.9929   | 0.8635 |   0.9991    | 0.9799 | 0.0009 | 0.1365 |  0.9237  | 0.9237
   51 |  0.1280    |   0.0603   |  98.01%  |   0.0199   |  0.9929   | 0.8548 |   0.9991    | 0.9785 | 0.0009 | 0.1452 |  0.9187  | 0.9187
   52 |  0.1283    |   0.0592   |  98.11%  |   0.0189   |  0.9921   | 0.8623 |   0.9990    | 0.9797 | 0.0010 | 0.1377 |  0.9226  | 0.9226
   53 |  0.1292    |   0.0590   |  97.99%  |   0.0201   |  0.9920   | 0.8540 |   0.9990    | 0.9783 | 0.0010 | 0.1460 |  0.9179  | 0.9179
   54 |  0.1254    |   0.0590   |  98.08%  |   0.0192   |  0.9904   | 0.8619 |   0.9987    | 0.9796 | 0.0013 | 0.1381 |  0.9217  | 0.9217
   55 |  0.1270    |   0.0581   |  98.05%  |   0.0195   |  0.9912   | 0.8585 |   0.9988    | 0.9791 | 0.0012 | 0.1415 |  0.9200  | 0.9200
   56 |  0.1227    |   0.0572   |  98.14%  |   0.0186   |  0.9886   | 0.8673 |   0.9985    | 0.9805 | 0.0015 | 0.1327 |  0.9240  | 0.9240
   57 |  0.1259    |   0.0550   |  98.34%  |   0.0166   |  0.9930   | 0.8771 |   0.9991    | 0.9822 | 0.0009 | 0.1229 |  0.9315  | 0.9315
   58 |  0.1197    |   0.0558   |  98.24%  |   0.0176   |  0.9965   | 0.8677 |   0.9995    | 0.9806 | 0.0005 | 0.1323 |  0.9276  | 0.9276
   59 |  0.1183    |   0.0561   |  98.21%  |   0.0179   |  0.9930   | 0.8686 |   0.9991    | 0.9807 | 0.0009 | 0.1314 |  0.9266  | 0.9266
   60 |  0.1176    |   0.0524   |  98.29%  |   0.0171   |  0.9947   | 0.8725 |   0.9993    | 0.9814 | 0.0007 | 0.1275 |  0.9296  | 0.9296
   61 |  0.1169    |   0.0569   |  98.19%  |   0.0181   |  0.9903   | 0.8690 |   0.9987    | 0.9808 | 0.0013 | 0.1310 |  0.9257  | 0.9257
   62 |  0.1165    |   0.0562   |  98.26%  |   0.0174   |  0.9938   | 0.8705 |   0.9992    | 0.9812 | 0.0008 | 0.1295 |  0.9281  | 0.9281
   63 |  0.1136    |   0.0554   |  98.33%  |   0.0167   |  0.9903   | 0.8784 |   0.9987    | 0.9824 | 0.0013 | 0.1216 |  0.9310  | 0.9310
   64 |  0.1135    |   0.0537   |  98.20%  |   0.0180   |  0.9938   | 0.8670 |   0.9992    | 0.9805 | 0.0008 | 0.1330 |  0.9261  | 0.9261
   65 |  0.1140    |   0.0503   |  98.34%  |   0.0166   |  0.9930   | 0.8773 |   0.9991    | 0.9822 | 0.0009 | 0.1227 |  0.9316  | 0.9316
   66 |  0.1121    |   0.0533   |  98.22%  |   0.0178   |  0.9938   | 0.8681 |   0.9992    | 0.9807 | 0.0008 | 0.1319 |  0.9267  | 0.9267
   67 |  0.1143    |   0.0501   |  98.34%  |   0.0166   |  0.9921   | 0.8776 |   0.9990    | 0.9823 | 0.0010 | 0.1224 |  0.9313  | 0.9313
   68 |  0.1116    |   0.0539   |  98.22%  |   0.0178   |  0.9886   | 0.8723 |   0.9985    | 0.9814 | 0.0015 | 0.1277 |  0.9268  | 0.9268
   69 |  0.1078    |   0.0507   |  98.40%  |   0.0160   |  0.9904   | 0.8835 |   0.9987    | 0.9832 | 0.0013 | 0.1165 |  0.9339  | 0.9339
   70 |  0.1061    |   0.0512   |  98.20%  |   0.0180   |  0.9903   | 0.8697 |   0.9987    | 0.9809 | 0.0013 | 0.1303 |  0.9261  | 0.9261
   71 |  0.1084    |   0.0479   |  98.50%  |   0.0150   |  0.9930   | 0.8885 |   0.9991    | 0.9840 | 0.0009 | 0.1115 |  0.9378  | 0.9378
   72 |  0.1049    |   0.0498   |  98.34%  |   0.0166   |  0.9886   | 0.8807 |   0.9985    | 0.9827 | 0.0015 | 0.1193 |  0.9315  | 0.9315
   73 |  0.1057    |   0.0493   |  98.29%  |   0.0171   |  0.9929   | 0.8734 |   0.9991    | 0.9816 | 0.0009 | 0.1266 |  0.9294  | 0.9294
   74 |  0.1064    |   0.0492   |  98.53%  |   0.0147   |  0.9965   | 0.8874 |   0.9995    | 0.9839 | 0.0005 | 0.1126 |  0.9388  | 0.9388
   75 |  0.1014    |   0.0516   |  98.45%  |   0.0155   |  0.9921   | 0.8856 |   0.9990    | 0.9835 | 0.0010 | 0.1144 |  0.9358  | 0.9358
   76 |  0.1015    |   0.0496   |  98.27%  |   0.0173   |  0.9938   | 0.8717 |   0.9992    | 0.9813 | 0.0008 | 0.1283 |  0.9288  | 0.9288
   77 |  0.1038    |   0.0476   |  98.47%  |   0.0153   |  0.9947   | 0.8846 |   0.9993    | 0.9834 | 0.0007 | 0.1154 |  0.9364  | 0.9364
   78 |  0.1003    |   0.0465   |  98.46%  |   0.0154   |  0.9938   | 0.8847 |   0.9992    | 0.9834 | 0.0008 | 0.1153 |  0.9361  | 0.9361
   79 |  0.1009    |   0.0430   |  98.48%  |   0.0152   |  0.9965   | 0.8841 |   0.9995    | 0.9833 | 0.0005 | 0.1159 |  0.9369  | 0.9369
   80 |  0.0998    |   0.0479   |  98.33%  |   0.0167   |  0.9903   | 0.8785 |   0.9987    | 0.9824 | 0.0013 | 0.1215 |  0.9311  | 0.9311
   81 |  0.0944    |   0.0477   |  98.64%  |   0.0136   |  0.9912   | 0.8995 |   0.9989    | 0.9858 | 0.0011 | 0.1005 |  0.9431  | 0.9431
   82 |  0.0959    |   0.0458   |  98.60%  |   0.0140   |  0.9921   | 0.8961 |   0.9990    | 0.9852 | 0.0010 | 0.1039 |  0.9417  | 0.9417
   83 |  0.0977    |   0.0460   |  98.50%  |   0.0150   |  0.9930   | 0.8881 |   0.9991    | 0.9840 | 0.0009 | 0.1119 |  0.9376  | 0.9376
   84 |  0.0972    |   0.0483   |  98.42%  |   0.0158   |  0.9904   | 0.8848 |   0.9987    | 0.9834 | 0.0013 | 0.1152 |  0.9346  | 0.9346
   85 |  0.0956    |   0.0458   |  98.57%  |   0.0143   |  0.9904   | 0.8953 |   0.9987    | 0.9851 | 0.0013 | 0.1047 |  0.9404  | 0.9404
   86 |  0.0957    |   0.0474   |  98.49%  |   0.0151   |  0.9956   | 0.8857 |   0.9994    | 0.9835 | 0.0006 | 0.1143 |  0.9374  | 0.9374
   87 |  0.0914    |   0.0437   |  98.57%  |   0.0143   |  0.9947   | 0.8916 |   0.9993    | 0.9845 | 0.0007 | 0.1084 |  0.9403  | 0.9403
   88 |  0.0945    |   0.0440   |  98.56%  |   0.0144   |  0.9947   | 0.8910 |   0.9993    | 0.9844 | 0.0007 | 0.1090 |  0.9400  | 0.9400
   89 |  0.0949    |   0.0442   |  98.58%  |   0.0142   |  0.9904   | 0.8961 |   0.9987    | 0.9852 | 0.0013 | 0.1039 |  0.9409  | 0.9409
   90 |  0.0932    |   0.0469   |  98.51%  |   0.0149   |  0.9956   | 0.8870 |   0.9994    | 0.9838 | 0.0006 | 0.1130 |  0.9381  | 0.9381
   91 |  0.0922    |   0.0450   |  98.53%  |   0.0147   |  0.9939   | 0.8899 |   0.9992    | 0.9842 | 0.0008 | 0.1101 |  0.9390  | 0.9390
