Epoch	Train Loss	Test Loss
1	0.090661	0.048536
2	0.041583	0.037008
3	0.033665	0.031440
4	0.029132	0.027022
5	0.025628	0.024704
6	0.023820	0.023159
7	0.022535	0.022092
8	0.021577	0.021342
9	0.020927	0.020864
10	0.020502	0.020521
11	0.020193	0.020159
12	0.019958	0.020143
13	0.019748	0.020012
14	0.019604	0.019702
15	0.019489	0.019610
16	0.019386	0.019643
17	0.019308	0.019498
18	0.019228	0.019335
19	0.019154	0.019367
20	0.019094	0.019219
21	0.019035	0.019125
22	0.018981	0.019095
23	0.018924	0.019066
24	0.018879	0.019023
25	0.018834	0.018941
26	0.018793	0.018967
27	0.018757	0.018992

Best Test Loss: 0.018941 at Epoch 25
Min. Loss Distance: 0.000019 at Epoch 10
